,ADF_stat,p_value,lags_used,nobs,cv_1%,cv_5%,cv_10%
r_t (Δ log P_t),-19.742739212384386,0.0,3.0,1342.0,-3.4352321552179914,-2.863696093312285,-2.567917908453473
Δi_t (3M T-bill),-4.67106189725633,9.5341680527454e-05,23.0,1322.0,-3.4353061595148073,-2.863728748588099,-2.567935298646666
Δi_t (10Y bond),-16.749194339604667,1.3383151963175782e-29,3.0,1342.0,-3.4352321552179914,-2.863696093312285,-2.567917908453473
